ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"207.244.227.169","elite","N/A","US","N/A","111","N/A","443","http","N/A","245","2021-11-04T23:02:02.383Z","100","1","1"
"66.23.232.84","transparent","N/A","US","N/A","63","N/A","3128","https","N/A","235","2021-11-04T23:00:07.598Z","100","1","1"
"45.79.223.43","transparent","N/A","US","N/A","57","N/A","9091","https","N/A","179","2021-11-04T23:00:09.630Z","100","1","1"
"68.188.59.198","elite","N/A","US","N/A","44","N/A","80","http","N/A","176","2021-11-04T23:03:13.178Z","100","1","1"
"208.113.134.223","anonymous","N/A","US","N/A","71","N/A","80","http","N/A","171","2021-11-04T23:01:58.807Z","100","1","1"
"64.225.16.208","elite","N/A","CA","N/A","N/A","N/A","8080","http","N/A","152","2021-11-04T23:02:51.515Z","0","0","1"
"152.32.148.140","transparent","N/A","US","N/A","N/A","N/A","3128","http","N/A","139","2021-11-04T23:03:07.449Z","0","0","1"
"68.185.57.66","elite","N/A","US","N/A","32","N/A","80","http","N/A","121","2021-11-04T23:02:25.606Z","100","1","1"
"104.233.204.75","elite","N/A","US","N/A","25","N/A","82","http","N/A","109","2021-11-04T23:04:05.593Z","100","1","1"
"69.197.181.202","transparent","N/A","US","N/A","40","N/A","3128","https","N/A","81","2021-11-04T23:02:26.179Z","100","1","1"
"104.233.204.74","elite","N/A","US","N/A","23","N/A","82","http","N/A","64","2021-11-04T23:04:07.484Z","100","1","1"
"104.233.204.76","elite","N/A","US","N/A","2","N/A","82","http","N/A","8","2021-11-04T23:02:33.074Z","100","1","1"
"104.233.204.77","elite","N/A","US","N/A","2","N/A","82","http","N/A","7","2021-11-04T23:01:34.184Z","100","1","1"
